ID,pos,v
1,-0.0,49.3005780347
15,-0.0,191.428571429
15,800.0,235.0
15,1600.0,346.0
16,-0.0,173.2
16,800.0,104.0
20,-0.0,102.3
20,800.0,257.0
22,-0.0,107.785714286
22,800.0,322.0
22,1600.0,406.0
23,-0.0,206.5
23,800.0,106.5
28,-0.0,120.214285714
28,800.0,94.1428571429
3,-0.0,59.32
4,-0.0,29.4104046243
7,-0.0,251.0
7,800.0,149.3
8,-0.0,116.6
8,800.0,113.2
fa01,-800.0,14.0
fa01,-0.0,6.05084745763
fa05,-800.0,-6.14285714286
fa10,-800.0,40.0
fa10,-0.0,39.5
fa11,-800.0,13.3214285714
fa12,-800.0,37.2285714286
fa16,-0.0,102.5
fa16,800.0,164.0
fa17,-0.0,108.3
fa17,800.0,88.0
fa17,1600.0,145.0
