,ID,time,cell_population,cell_length
0,uninjured1,0,uninjured,13.431
1,uninjured1,0,uninjured,15.132
2,uninjured1,0,uninjured,11.341
3,uninjured1,0,uninjured,12.629
4,uninjured1,0,uninjured,12.177
5,uninjured1,0,uninjured,14.395
6,uninjured1,0,uninjured,15.173
7,uninjured1,0,uninjured,13.153
8,uninjured1,0,uninjured,12.595
9,uninjured1,0,uninjured,15.774
10,uninjured1,0,uninjured,12.263
11,uninjured2,0,uninjured,14.34
12,uninjured2,0,uninjured,12.595
13,uninjured2,0,uninjured,15.132
14,uninjured2,0,uninjured,14.667
15,uninjured2,0,uninjured,14.242
16,uninjured2,0,uninjured,14.667
17,uninjured2,0,uninjured,11.729
18,uninjured2,0,uninjured,12.574
19,uninjured2,0,uninjured,13.404
20,uninjured2,0,uninjured,13.431
21,uninjured3,0,uninjured,13.532
22,uninjured3,0,uninjured,16.097
23,uninjured3,0,uninjured,11.767
24,uninjured3,0,uninjured,13.877
25,uninjured3,0,uninjured,13.877
26,uninjured3,0,uninjured,14.567
27,uninjured3,0,uninjured,13.51
28,uninjured3,0,uninjured,11.092
29,uninjured3,0,uninjured,14.912
30,uninjured3,0,uninjured,13.51
31,uninjured3,0,uninjured,13.945
32,uninjured3,0,uninjured,16.638
33,uninjured3,0,uninjured,14.546
34,uninjured3,0,uninjured,13.602
35,uninjured3,0,uninjured,11.782
36,uninjured3,0,uninjured,11.092
37,uninjured3,0,uninjured,13.259
38,uninjured3,0,uninjured,12.875
39,uninjured3,0,uninjured,11.808
40,uninjured3,0,uninjured,14.567
41,uninjured3,0,uninjured,13.651
42,uninjured3,0,uninjured,13.842
43,uninjured3,0,uninjured,15.362
44,uninjured3,0,uninjured,14.201
45,uninjured3,0,uninjured,14.567
46,day3_1,3,regenerating,15.583
47,day3_1,3,regenerating,13.384
48,day3_1,3,regenerating,15.284
49,day3_1,3,regenerating,12.308
50,day3_1,3,regenerating,14.789
51,day3_1,3,regenerating,13.377
52,day3_1,3,regenerating,11.993
53,day3_1,3,regenerating,11.531
54,day3_1,3,regenerating,12.915
55,day3_1,3,regenerating,16.151
56,day3_1,3,regenerating,12.454
57,day3_1,3,regenerating,12.915
58,day3_1,3,regenerating,12.915
59,day3_1,3,regenerating,16.144
60,day3_1,3,regenerating,10.609
61,day3_1,3,non-regenerating,13.384
62,day3_1,3,non-regenerating,12.473
63,day3_1,3,non-regenerating,12.459
64,day3_1,3,non-regenerating,12.8
65,day3_1,3,non-regenerating,12.454
66,day3_1,3,non-regenerating,14.53
67,day3_1,3,non-regenerating,13.492
68,day3_1,3,non-regenerating,12.459
69,day3_1,3,non-regenerating,12.108
70,day3_1,3,non-regenerating,13.842
71,day3_1,3,non-regenerating,12.454
72,day3_1,3,non-regenerating,12.454
73,day3_1,3,non-regenerating,12.128
74,day3_1,3,non-regenerating,12.108
75,day3_1,3,non-regenerating,12.108
76,day3_1,3,non-regenerating,12.805
77,day3_1,3,non-regenerating,13.842
78,day3_1,3,non-regenerating,14.53
79,day3_1,3,non-regenerating,12.454
80,day3_1,3,non-regenerating,12.459
81,day3_1,3,non-regenerating,12.108
82,day3_2,3,regenerating,15.69
83,day3_2,3,regenerating,14.299
84,day3_2,3,regenerating,11.531
85,day3_2,3,regenerating,11.156
86,day3_2,3,regenerating,13.503
87,day3_2,3,regenerating,13.408
88,day3_2,3,regenerating,16.144
89,day3_2,3,regenerating,12.915
90,day3_2,3,regenerating,13.838
91,day3_2,3,regenerating,15.222
92,day3_2,3,regenerating,14.299
93,day3_2,3,regenerating,13.384
94,day3_2,3,regenerating,13.377
95,day3_2,3,regenerating,14.767
96,day3_2,3,regenerating,12.463
97,day3_2,3,regenerating,11.541
98,day3_2,3,non-regenerating,13.838
99,day3_2,3,non-regenerating,12.454
100,day3_2,3,non-regenerating,12.923
101,day3_2,3,non-regenerating,15.683
102,day3_2,3,non-regenerating,13.838
103,day3_2,3,non-regenerating,13.838
104,day3_2,3,non-regenerating,12.915
105,day3_2,3,non-regenerating,12.454
106,day3_2,3,non-regenerating,13.15
107,day3_2,3,non-regenerating,11.531
108,day3_2,3,non-regenerating,11.993
109,day3_2,3,non-regenerating,14.299
110,day3_2,3,non-regenerating,12.948
111,day3_2,3,non-regenerating,15.71
112,day3_2,3,non-regenerating,14.76
113,day3_2,3,non-regenerating,12.923
114,day3_2,3,non-regenerating,12.488
115,day3_2,3,non-regenerating,12.915
116,day3_3,3,regenerating,11.767
117,day3_3,3,regenerating,12.8
118,day3_3,3,regenerating,14.184
119,day3_3,3,regenerating,12.459
120,day3_3,3,regenerating,13.187
121,day3_3,3,regenerating,10.384
122,day3_3,3,regenerating,12.108
123,day3_3,3,regenerating,11.437
124,day3_3,3,regenerating,11.782
125,day3_3,3,regenerating,12.152
126,day3_3,3,regenerating,11.07
127,day3_3,3,regenerating,11.421
128,day3_3,3,regenerating,12.128
129,day3_3,3,regenerating,13.146
130,day3_3,3,regenerating,13.496
131,day3_3,3,regenerating,10.43
132,day3_3,3,non-regenerating,11.247
133,day3_3,3,non-regenerating,11.635
134,day3_3,3,non-regenerating,13.497
135,day3_3,3,non-regenerating,10.649
136,day3_3,3,non-regenerating,13.474
137,day3_3,3,non-regenerating,11.764
138,day3_3,3,non-regenerating,12.488
139,day3_3,3,non-regenerating,12.703
140,day3_3,3,non-regenerating,13.801
141,day3_3,3,non-regenerating,12.473
142,day3_3,3,non-regenerating,11.818
143,day3_3,3,non-regenerating,11.764
144,day3_3,3,non-regenerating,13.146
