ID,time,pos,SOX2,PCNA,m
0D_1,0,-1500.0,,,2.0
0D_1,0,-1450.0,,,1.0
0D_1,0,-1400.0,,,3.0
0D_1,0,-1350.0,33.0,26.0,1.0
0D_1,0,-1300.0,38.0,32.0,1.0
0D_1,0,-1250.0,,,1.0
0D_1,0,-1200.0,32.0,31.0,1.0
0D_1,0,-1150.0,,,0.0
0D_1,0,-1100.0,34.0,32.0,1.0
0D_1,0,-1050.0,33.0,30.0,2.0
0D_1,0,-1000.0,31.0,28.0,2.0
0D_1,0,-950.0,,,2.0
0D_1,0,-900.0,,,2.0
0D_1,0,-850.0,,,1.0
0D_1,0,-800.0,32.0,32.0,1.0
0D_1,0,-750.0,30.0,27.0,1.0
0D_1,0,-700.0,,,0.0
0D_1,0,-650.0,,,3.0
0D_1,0,-600.0,,,1.0
0D_1,0,-550.0,,,1.0
0D_1,0,-500.0,,,2.0
0D_1,0,-450.0,33.0,29.0,1.0
0D_1,0,-400.0,34.0,27.0,0.0
0D_1,0,-350.0,30.0,28.0,1.0
0D_1,0,-300.0,,,2.0
0D_1,0,-250.0,,,2.0
0D_1,0,-200.0,33.0,,3.0
0D_1,0,-150.0,31.0,,1.0
0D_1,0,-100.0,,,2.0
0D_1,0,-50.0,34.0,,1.0
0D_1,0,0.0,,,0.0
0D_2,0,-1500.0,,,1.0
0D_2,0,-1450.0,,,1.0
0D_2,0,-1400.0,,,2.0
0D_2,0,-1350.0,,,1.0
0D_2,0,-1300.0,32.0,30.0,1.0
0D_2,0,-1250.0,,,2.0
0D_2,0,-1200.0,,,1.0
0D_2,0,-1150.0,,,0.0
0D_2,0,-1100.0,28.0,28.0,4.0
0D_2,0,-1050.0,34.0,30.0,0.0
0D_2,0,-1000.0,32.0,27.0,1.0
0D_2,0,-900.0,,,1.0
0D_2,0,-800.0,,,1.0
0D_2,0,-750.0,31.0,30.0,2.0
0D_2,0,-700.0,30.0,26.0,2.0
0D_2,0,-650.0,,,1.0
0D_2,0,-600.0,,,3.0
0D_2,0,-550.0,,,0.0
0D_2,0,-500.0,28.0,28.0,4.0
0D_2,0,-450.0,29.0,26.0,1.0
0D_2,0,-400.0,,,0.0
0D_2,0,-350.0,33.0,30.0,2.0
0D_2,0,-300.0,,,1.0
0D_2,0,-250.0,,,1.0
0D_2,0,-200.0,,,1.0
0D_2,0,-150.0,33.0,32.0,2.0
0D_2,0,-100.0,,,3.0
0D_2,0,-50.0,34.0,27.0,2.0
0D_2,0,0.0,,,0.0
0D_3,0,-1500.0,,,3.0
0D_3,0,-1450.0,,,2.0
0D_3,0,-1400.0,,,0.0
0D_3,0,-1350.0,32.0,26.0,3.0
0D_3,0,-1300.0,34.0,31.0,1.0
0D_3,0,-1250.0,,,1.0
0D_3,0,-1200.0,,,1.0
0D_3,0,-1150.0,,,2.0
0D_3,0,-1100.0,32.0,28.0,4.0
0D_3,0,-1050.0,35.0,31.0,1.0
0D_3,0,-1000.0,,,3.0
0D_3,0,-950.0,,,2.0
0D_3,0,-900.0,,,2.0
0D_3,0,-800.0,,,3.0
0D_3,0,-750.0,,,0.0
0D_3,0,-700.0,28.0,26.0,2.0
0D_3,0,-650.0,31.0,21.0,3.0
0D_3,0,-600.0,,,2.0
0D_3,0,-550.0,24.0,22.0,3.0
0D_3,0,-500.0,29.0,26.0,2.0
0D_3,0,-400.0,,,3.0
0D_3,0,-350.0,28.0,22.0,2.0
0D_3,0,-300.0,,,2.0
0D_3,0,-250.0,,,1.0
0D_3,0,-200.0,28.0,21.0,2.0
0D_3,0,-150.0,32.0,26.0,3.0
0D_3,0,-100.0,,,3.0
0D_3,0,-50.0,,,0.0
0D_3,0,0.0,,,2.0
3D_1,3,-1850.0,,,0.0
3D_1,3,-1800.0,,,1.0
3D_1,3,-1750.0,,,0.0
3D_1,3,-1700.0,,,0.0
3D_1,3,-1650.0,,,2.0
3D_1,3,-1600.0,,,1.0
3D_1,3,-1550.0,,,4.0
3D_1,3,-1500.0,32.0,32.0,2.0
3D_1,3,-1450.0,,,0.0
3D_1,3,-1350.0,,,0.0
3D_1,3,-1300.0,31.0,22.0,1.0
3D_1,3,-1250.0,,,1.0
3D_1,3,-1200.0,,,0.0
3D_1,3,-1150.0,31.0,25.0,1.0
3D_1,3,-1100.0,,,2.0
3D_1,3,-1050.0,,,2.0
3D_1,3,-1000.0,,,1.0
3D_1,3,-950.0,,,3.0
3D_1,3,-900.0,,,0.0
3D_1,3,-850.0,28.0,28.0,2.0
3D_1,3,-800.0,,,0.0
3D_1,3,-750.0,,,1.0
3D_1,3,-700.0,,,0.0
3D_1,3,-650.0,33.0,25.0,0.0
3D_1,3,-600.0,31.0,26.0,1.0
3D_1,3,-550.0,26.0,24.0,4.0
3D_1,3,-500.0,,,2.0
3D_1,3,-400.0,,,2.0
3D_1,3,-350.0,,,2.0
3D_1,3,-300.0,,,4.0
3D_1,3,-250.0,31.0,29.0,1.0
3D_1,3,-200.0,31.0,26.0,0.0
3D_1,3,-150.0,,,4.0
3D_1,3,-100.0,31.0,30.0,2.0
3D_1,3,-50.0,31.0,29.0,2.0
3D_1,3,0.0,26.0,23.0,0.0
3D_2,3,-2200.0,,,1.0
3D_2,3,-2150.0,,,0.0
3D_2,3,-2100.0,23.0,18.0,1.0
3D_2,3,-2050.0,,,0.0
3D_2,3,-2000.0,,,1.0
3D_2,3,-1950.0,,,0.0
3D_2,3,-1900.0,,,1.0
3D_2,3,-1850.0,,,2.0
3D_2,3,-1800.0,25.0,20.0,0.0
3D_2,3,-1750.0,,,1.0
3D_2,3,-1700.0,,,1.0
3D_2,3,-1650.0,,,0.0
3D_2,3,-1600.0,25.0,20.0,1.0
3D_2,3,-1550.0,24.0,17.0,0.0
3D_2,3,-1500.0,,,1.0
3D_2,3,-1450.0,,,0.0
3D_2,3,-1400.0,27.0,22.0,1.0
3D_2,3,-1350.0,,,2.0
3D_2,3,-1300.0,,,0.0
3D_2,3,-1250.0,,,1.0
3D_2,3,-1200.0,,,0.0
3D_2,3,-1150.0,26.0,21.0,1.0
3D_2,3,-1100.0,,,1.0
3D_2,3,-1050.0,26.0,23.0,0.0
3D_2,3,-1000.0,22.0,20.0,2.0
3D_2,3,-950.0,,,5.0
3D_2,3,-900.0,,,0.0
3D_2,3,-850.0,,,1.0
3D_2,3,-800.0,,,1.0
3D_2,3,-750.0,24.0,24.0,1.0
3D_2,3,-700.0,22.0,21.0,2.0
3D_2,3,-650.0,,,2.0
3D_2,3,-600.0,,,3.0
3D_2,3,-550.0,25.0,21.0,4.0
3D_2,3,-500.0,29.0,25.0,2.0
3D_2,3,-450.0,24.0,24.0,2.0
3D_2,3,-400.0,28.0,28.0,0.0
3D_2,3,-350.0,25.0,24.0,0.0
3D_2,3,-300.0,28.0,28.0,0.0
3D_2,3,-250.0,,,2.0
3D_2,3,-200.0,33.0,31.0,
3D_2,3,-150.0,,,1.0
3D_2,3,-100.0,31.0,,0.0
3D_2,3,-50.0,30.0,30.0,2.0
3D_2,3,0.0,30.0,29.0,1.0
3D_2,3,50.0,30.0,26.0,1.0
3D_2,3,100.0,,,2.0
3D_3,3,-2250.0,,,2.0
3D_3,3,-2200.0,,,0.0
3D_3,3,-2150.0,,,2.0
3D_3,3,-2100.0,,,0.0
3D_3,3,-2050.0,,,1.0
3D_3,3,-2000.0,,,2.0
3D_3,3,-1950.0,,,1.0
3D_3,3,-1900.0,29.0,26.0,4.0
3D_3,3,-1850.0,29.0,25.0,3.0
3D_3,3,-1800.0,,,2.0
3D_3,3,-1750.0,27.0,25.0,1.0
3D_3,3,-1700.0,,,1.0
3D_3,3,-1650.0,,,1.0
3D_3,3,-1600.0,,,1.0
3D_3,3,-1550.0,,,0.0
3D_3,3,-1500.0,29.0,27.0,1.0
3D_3,3,-1450.0,31.0,29.0,1.0
3D_3,3,-1400.0,,,4.0
3D_3,3,-1300.0,,,0.0
3D_3,3,-1250.0,,,1.0
3D_3,3,-1200.0,,,2.0
3D_3,3,-1150.0,,,1.0
3D_3,3,-1100.0,28.0,27.0,1.0
3D_3,3,-1050.0,,,0.0
3D_3,3,-1000.0,27.0,23.0,2.0
3D_3,3,-950.0,25.0,23.0,0.0
3D_3,3,-900.0,,,0.0
3D_3,3,-850.0,,,1.0
3D_3,3,-800.0,,,4.0
3D_3,3,-750.0,,,1.0
